CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,03/15/2024 09:56:00 AM,24-905790,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,2951 SCHOOL ST,Oakland,CA,POINT (-122.213807005 37.795083983)
,04/23/2024 03:22:00 PM,24-908314,GRAND THEFT,,185 UPTOWN CIRCLE,Oakland,CA,POINT (-122.280020016 37.81552602)
MISDEMEANOR ASSAULT,04/03/2024 11:24:00 AM,24-016453,BATTERY,04X,1415 HARRISON ST,Oakland,CA,POINT (-122.267654027 37.803236012)
,05/27/2024 04:53:00 PM,24-026151,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,33X,8301 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.178451969 37.754617998)
STOLEN VEHICLE,04/05/2024 06:00:00 PM,24-017839,VEHICLE THEFT - AUTO,21Y,LYNDE ST & SUNSET AV,Oakland,CA,POINT (-122.218430965 37.79079798)
,05/29/2024 10:45:00 PM,24-026999,VEHICLE THEFT - AUTO,31Y,9755 EDES AVE,Oakland,CA,POINT (-122.18382896 37.736277011)
,05/02/2024 05:00:00 PM,24-021786,THEFT,08X,1083 65TH ST,Oakland,CA,POINT (-122.28395599 37.84815899)
FELONY ASSAULT,03/26/2024 04:06:00 AM,24-015076,TAMPER WITH VEHICLE,19X,2293 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.236280982 37.783393994)
OTHER SEX OFFENSES,03/27/2024 07:00:00 AM,24-015678,SODOMY,31Y,8400 EDES AV,Oakland,CA,POINT (-122.194768014 37.742048999)
,05/03/2024 08:00:00 PM,24-021910,VEHICLE THEFT - AUTO,17Y,2740 11TH AV,Oakland,CA,POINT (-122.236781969 37.799779986)
,05/06/2024 11:05:00 AM,24-022250,SC UNEXPLAINED DEATH,12Y,447 59TH ST.,Oakland,CA,POINT (-122.258421025 37.845195987)
STOLEN VEHICLE,03/22/2024 12:00:00 PM,24-014584,VEHICLE THEFT - AUTO,32Y,2139 103RD AV,Oakland,CA,POINT (-122.159339973 37.743488004)
,03/26/2024 08:30:00 PM,24-905883,BURGLARY-AUTO,,51ST/BROADWAY,Oakland,CA,POINT (-122.277089903 37.795053543)
STOLEN VEHICLE,04/03/2024 10:00:00 PM,24-017504,VEHICLE THEFT - AUTO,32X,98TH AV & HOLLY ST,Oakland,CA,POINT (-122.169374033 37.744898008)
MISDEMEANOR ASSAULT,05/20/2024 11:55:00 PM,24-024983,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,518 MACARTHUR BLVD,Oakland,CA,POINT (-122.252787547 37.817320228)
,03/19/2024 11:15:00 AM,24-905917,VANDALISM,22Y,5500 REDWOOD ROAD,Oakland,CA,POINT (-122.169921036 37.797618)
,06/01/2024 03:00:00 PM,24-028028,VEHICLE THEFT - AUTO,14X,428 EUCLID AVE,Oakland,CA,POINT (-122.251317027 37.80956502)
,04/07/2024 06:00:00 PM,24-017108,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,19X,1305 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.247140773 37.789774754)
,05/09/2024 11:21:00 PM,24-022963,DISORDERLY CONDUCT:PROSTITUTION,19X,1000 BLOCK OF E 15TH ST,Oakland,CA,POINT (-122.248244102 37.792353911)
,04/19/2024 09:30:00 AM,24-019303,VEHICLE THEFT - AUTO,32X,1091 106TH AV,Oakland,CA,POINT (-122.170700972 37.736725988)
,04/07/2024 11:00:00 PM,24-907214,GRAND THEFT,,TELEGRAPH AVE,Oakland,CA,POINT (-122.261462977 37.843326577)
STOLEN VEHICLE,03/28/2024 11:16:00 AM,24-015580,VEHICLE THEFT - AUTO,25X,4130 GREGORY ST,Oakland,CA,POINT (-122.185092029 37.794201997)
,06/01/2024 12:00:00 AM,24-027133,VEHICLE THEFT - AUTO,19X,1103 EMBARCADERO,Oakland,CA,POINT (-122.25265897 37.788101983)
NARCOTICS,03/27/2024 04:30:00 PM,24-015442,CARRY CONCEALED WEAPON IN VEHICLE,27Y,5615 HARMON AV,Oakland,CA,POINT (-122.197186026 37.769995983)
,04/22/2024 01:05:00 PM,24-019814,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21Y,3435 DAVIS ST,Oakland,CA,POINT (-122.215904494 37.787813471)
,04/01/2024 06:00:00 PM,24-016881,THEFT,34X,2123 90TH AVE,Oakland,CA,POINT (-122.166328971 37.753571015)
,06/04/2024 09:00:00 PM,24-027738,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,23X,1428 35TH AV,Oakland,CA,POINT (-122.222289994 37.776651004)
,06/08/2024 01:50:00 PM,24-028500,BATTERY,10X,93 8TH ST,Oakland,CA,POINT (-122.26541103 37.796692009)
ROBBERY,03/21/2024 10:50:00 AM,24-014269,ROBBERY-FIREARM,32X,10800 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16524934 37.737533417)
MISDEMEANOR ASSAULT,05/21/2024 10:52:00 AM,24-025076,VEHICLE THEFT - AUTO,32X,1300 102ND AV,Oakland,CA,POINT (-122.170031007 37.740204017)
,06/04/2024 06:00:00 PM,24-027693,BATTERY,17X,20TH ST&PARK BLVD,Oakland,CA,POINT (-122.248893987 37.800310016)
STOLEN VEHICLE,04/22/2024 07:30:00 PM,24-020337,VEHICLE THEFT - AUTO,32Y,2351 109TH AV,Oakland,CA,POINT (-122.15361002 37.74040602)
THREATS,05/23/2024 06:00:00 PM,24-025683,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2651 73RD AV,Oakland,CA,POINT (-122.174599095 37.767716318)
,04/24/2024 12:54:00 PM,24-020171,THEFT,23X,3300 12TH ST,Oakland,CA,POINT (-122.225296145 37.776245726)
,04/20/2024 03:09:00 AM,24-019422,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2359 E 23RD ST,Oakland,CA,POINT (-122.228974676 37.789467787)
STOLEN VEHICLE,03/29/2024 08:43:00 AM,24-016005,VEHICLE THEFT - AUTO,08X,550 24TH ST,Oakland,CA,POINT (-122.269957961 37.813934003)
,05/02/2024 11:59:00 PM,24-021748,VEHICLE THEFT - AUTO,27X,2492 COLE ST,Oakland,CA,POINT (-122.197759013 37.775563997)
,04/27/2024 03:50:00 AM,24-907885,VANDALISM,,10TH & UNION ST,Oakland,CA,POINT (-122.289382015 37.807141015)
PETTY THEFT,03/26/2024 08:10:00 AM,24-015096,THEFT,01X,105 5TH ST,Oakland,CA,POINT (-122.267250019 37.794795981)
,04/15/2024 08:15:00 AM,24-906818,BURGLARY-AUTO,13Z,50 MARSH PLACE,Oakland,CA,POINT (-122.215972972 37.823879005)
DOMESTIC VIOLENCE,03/29/2024 01:50:00 PM,24-015769,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,1126 84TH AV,Oakland,CA,POINT (-122.181995 37.751855994)
STOLEN VEHICLE,03/18/2024 04:00:00 PM,24-016328,VEHICLE THEFT - AUTO,05X,1219 16TH ST,Oakland,CA,POINT (-122.287187969 37.811202005)
FELONY ASSAULT,05/16/2024 11:52:00 PM,24-024305,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,14X,GRAND AV & PERKINS ST,Oakland,CA,POINT (-122.256138968 37.808963995)
,05/04/2024 02:16:00 AM,24-021861,BURGLARY-FORCIBLE ENTRY,08X,2295 BROADWAY,Oakland,CA,POINT (-122.26645675 37.812136294)
,06/06/2024 06:00:00 PM,24-028148,VEHICLE THEFT - AUTO,33X,90TH AV & G ST,Oakland,CA,POINT (-122.182779965 37.745787999)
,04/19/2024 11:00:00 PM,24-019402,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,33X,1219 89TH AVEUNE,Oakland,CA,POINT (-122.17805802 37.749286018)
DOMESTIC VIOLENCE,03/26/2024 09:35:00 PM,24-015222,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1034 87TH AV,Oakland,CA,POINT (-122.181608007 37.74901302)
MISDEMEANOR ASSAULT,05/20/2024 12:00:00 PM,24-025162,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,33X,1320 87TH AV,Oakland,CA,POINT (-122.177364911 37.751112554)
,03/29/2024 10:45:00 PM,24-906860,VANDALISM,10X,6129 BAKER ST,Oakland,CA,POINT (-122.279317026 37.845208015)
DOMESTIC VIOLENCE,05/02/2024 11:46:00 PM,24-021671,BATTERY:SERIOUS BODILY INJ,16Y,1459 MACARTHUR BLVD,Oakland,CA,POINT (-122.22722903 37.801079013)
,05/12/2024 04:00:00 PM,24-023417,THEFT,02X,320 PERALTA STREET,Oakland,CA,POINT (-122.299585977 37.803955012)
OTHER,03/19/2024 03:45:00 PM,24-014011,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,29X,6120 FOOTHILL BLVD,Oakland,CA,POINT (-122.186945017 37.771330004)
,05/28/2024 08:54:00 PM,24-026390,THEFT,13Z,1963 MOUNTAIN BLVD,Oakland,CA,POINT (-122.210531459 37.827960707)
,04/19/2024 01:10:00 PM,24-019322,BATTERY,18Y,2509 HIGHLAND AV,Oakland,CA,POINT (-122.230398982 37.79310401)
,04/30/2024 06:35:00 PM,24-021293,BATTERY,26Y,80TH & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.18176894 37.756624081)
,04/22/2024 08:15:00 AM,24-906515,BURGLARY-AUTO,20X,3060 E 9TH ST,Oakland,CA,POINT (-122.229767992 37.775290999)
WEAPONS,05/12/2024 08:56:00 PM,24-023450,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,31Y,8452 EDES AV,Oakland,CA,POINT (-122.19416502 37.741010984)
DOMESTIC VIOLENCE,06/09/2024 10:47:00 PM,24-028588,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,21Y,FRUITVALE AV & HAROLD ST,Oakland,CA,POINT (-122.217208968 37.797956)
,05/04/2024 08:50:00 PM,24-021985,CARJACKING WITH FIREARM,21Y,IFO 2655 E 27TH ST,Oakland,CA,POINT (-122.221678031 37.79081399)
,05/18/2024 02:41:00 AM,24-024504,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,1159 79TH AV,Oakland,CA,POINT (-122.186791041 37.754765017)
,04/07/2024 01:53:00 PM,24-017085,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,2345 16TH ST,Oakland,CA,POINT (-122.233651999 37.784376982)
,04/21/2024 11:30:00 AM,24-019627,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,24Y,4200 PORTER ST,Oakland,CA,POINT (-122.198063024 37.787244012)
